entry_date,exit_date,entry_price,exit_price,side,pnl_pct,exit_reason
2015-04-11,2015-04-11,2102.3,2102.3,short,0.0,
2015-04-12,2015-05-01,2091.7,2020.6,long,-0.03399149017545533,
2015-05-02,2015-05-02,2062.5,2062.5,short,0.0,
2015-05-03,2015-05-10,2101.0,1987.0,long,-0.05425987624940509,
2015-05-11,2015-05-11,2099.9,2099.9,short,0.0,
2015-06-01,2015-06-01,2002.6,2002.6,long,0.0,
2015-06-02,2015-06-02,2055.5,2055.5,short,0.0,
2015-06-03,2015-06-10,2071.3,1979.9,long,-0.044126876840631546,
2015-06-11,2015-06-11,2099.2,2099.2,short,0.0,
2015-07-01,2015-07-01,2025.9,2025.9,long,0.0,
2015-07-04,2015-07-04,2076.3,2076.3,short,0.0,
2015-07-05,2015-07-05,2088.0,2088.0,long,0.0,
2015-07-07,2015-07-07,2081.3,2081.3,short,0.0,
2015-07-08,2015-07-10,2077.6,1995.8,long,-0.039372352714670766,
2015-07-12,2015-07-12,2077.1,2077.1,short,0.0,
2015-08-01,2015-08-01,2062.1,2062.1,long,0.0,
2015-08-04,2015-08-04,2081.9,2081.9,short,0.0,
2015-08-05,2015-08-06,2116.1,2079.3,long,-0.017390482491375536,
2015-08-07,2015-08-12,2046.7,2063.6,short,0.0,
2015-09-01,2015-09-01,2044.8,2044.8,long,0.0,
2015-09-02,2015-09-04,2046.7,2091.2,short,0.0,
2015-09-06,2015-09-06,2080.2,2080.2,long,0.0,
2015-09-07,2015-10-02,2051.3,2068.6,short,0.0,
2015-10-03,2015-10-03,2044.2,2044.2,long,0.0,
2015-10-04,2015-10-04,2102.1,2102.1,short,0.0,
2015-10-06,2015-10-07,2105.2,2076.6,long,-0.013585407562226814,
2015-10-08,2015-10-08,2104.2,2104.2,short,0.0,
2015-10-09,2015-10-09,1952.3,1952.3,long,0.0,
2015-10-11,2015-10-11,2081.7,2081.7,short,0.0,
2015-10-12,2015-10-12,2052.2,2052.2,long,0.0,
2015-11-02,2015-11-02,2068.5,2068.5,short,0.0,
2015-11-03,2015-11-03,2040.2,2040.2,long,0.0,
2015-11-05,2015-11-05,2105.3,2105.3,short,0.0,
2015-11-06,2015-11-08,2108.9,2084.1,long,-0.011759685143914012,
2015-11-09,2015-11-11,1961.0,2075.0,short,0.0,
2015-11-12,2015-11-12,2012.4,2012.4,long,0.0,
2015-12-01,2015-12-02,2028.3,2088.5,short,0.0,
2015-12-03,2015-12-10,2065.9,2017.5,long,-0.023428045887990745,
2015-12-11,2016-01-06,2046.0,2099.3,short,0.0,
2016-01-07,2016-02-02,2102.9,1903.0,long,-0.09505920395644119,
2016-02-03,2016-02-05,1986.5,2081.4,short,0.0,
2016-02-06,2016-03-02,2105.3,1912.5,long,-0.09157839737804596,
2016-03-03,2016-03-06,1993.4,2099.1,short,0.0,
2016-03-08,2016-03-11,2163.8,2088.7,long,-0.03470745909973216,
2016-04-01,2016-04-08,2012.7,2164.2,short,0.0,
2016-04-10,2016-05-01,2150.5,2016.7,long,-0.06221808881655422,
2016-05-02,2016-05-08,1880.0,2182.9,short,0.0,
2016-05-10,2016-06-01,2159.7,1990.3,long,-0.07843681992869378,
2016-06-04,2016-06-06,2066.7,2109.4,short,0.0,
2016-06-07,2016-07-01,2099.7,1943.1,long,-0.07458208315473636,
2016-07-03,2016-07-06,2001.8,2112.1,short,0.0,
2016-07-07,2016-08-01,2097.9,1922.0,long,-0.08384575051241727,
2016-08-02,2016-08-06,1853.4,2119.1,short,0.0,
2016-08-07,2016-09-02,2129.9,1852.2,long,-0.13038170806141136,
2016-09-03,2016-09-06,1989.3,2115.5,short,0.0,
2016-09-08,2016-10-02,2181.7,1851.9,long,-0.1511665215199155,
